Current (A),Voltage (V)
0.0,1.71
0.00013636363636363637,1.68
0.00013636363636363637,1.68
9.090909090909092e-05,1.7
9.090909090909092e-05,1.7
9.090909090909092e-05,1.7
9.090909090909092e-05,1.69
0.00013636363636363637,1.7
0.0,1.72
0.00013636363636363637,1.7
0.00013636363636363637,1.71
0.00013636363636363637,1.71
0.00013636363636363637,1.72
0.00018181818181818183,1.71
0.00018181818181818183,1.71
0.00018181818181818183,1.71
0.00018181818181818183,1.71
0.00018181818181818183,1.72
0.00022727272727272727,1.71
0.00022727272727272727,1.72
0.00022727272727272727,1.78
0.00022727272727272727,1.72
0.00013636363636363637,1.74
0.00022727272727272727,1.74
0.00013636363636363637,1.76
0.0003181818181818182,1.72
0.00027272727272727274,1.73
0.00027272727272727274,1.69
0.00027272727272727274,1.74
0.00022727272727272727,1.75
0.0003181818181818182,1.73
0.0003181818181818182,1.72
0.00027272727272727274,1.75
0.0003181818181818182,1.74
0.0003181818181818182,1.76
0.0003181818181818182,1.74
0.00036363636363636367,1.74
0.00036363636363636367,1.73
0.00036363636363636367,1.75
0.00036363636363636367,1.75
0.00036363636363636367,1.75
0.00036363636363636367,1.75
0.0004090909090909091,1.7999999999999998
0.0004090909090909091,1.75
0.00045454545454545455,1.75
0.0004090909090909091,1.76
0.00045454545454545455,1.75
0.00045454545454545455,1.74
0.00045454545454545455,1.76
0.00045454545454545455,1.76
0.00045454545454545455,1.7799999999999998
0.0005,1.75
0.0005,1.76
0.0005454545454545455,1.7599999999999998
0.0005454545454545455,1.75
0.0005454545454545455,1.7599999999999998
0.0005454545454545455,1.77
0.0005454545454545455,1.77
0.0005909090909090909,1.77
0.0006363636363636364,1.75
0.0005909090909090909,1.71
0.0005909090909090909,1.77
0.0006363636363636364,1.77
0.0006363636363636364,1.77
0.0007727272727272728,1.74
0.0006818181818181818,1.76
0.0005909090909090909,1.79
0.0006818181818181818,1.76
0.0006818181818181818,1.77
0.0006818181818181818,1.76
0.0007727272727272728,1.77
0.0007272727272727273,1.72
0.0007272727272727273,1.77
0.0007272727272727273,1.78
0.0007727272727272728,1.72
0.0007727272727272728,1.77
0.0007727272727272728,1.77
0.0007727272727272728,1.78
0.0007727272727272728,1.78
0.0007727272727272728,1.77
0.0008636363636363636,1.77
0.0006363636363636364,1.8199999999999998
0.0008181818181818182,1.78
0.0008636363636363636,1.78
0.0008181818181818182,1.79
0.0005,1.8699999999999999
0.0008636363636363636,1.79
0.0008181818181818182,1.8
0.0009090909090909091,1.79
0.0009090909090909091,1.79
0.0009090909090909091,1.79
0.0009545454545454546,1.79
0.0009545454545454546,1.79
0.0009545454545454546,1.7999999999999998
0.0009545454545454546,1.7999999999999998
0.001,1.7899999999999998
0.0010454545454545456,1.7799999999999998
0.001,1.8
0.001,1.8
0.0008636363636363636,1.83
0.0010454545454545456,1.79
0.0010454545454545456,1.7999999999999998
0.0010454545454545456,1.81
0.001090909090909091,1.7899999999999998
0.001090909090909091,1.7899999999999998
0.0011363636363636363,1.7999999999999998
0.001090909090909091,1.8
0.0011363636363636363,1.7999999999999998
0.0006818181818181818,1.9500000000000002
0.0011363636363636363,1.7999999999999998
0.0009545454545454546,1.85
0.0011363636363636363,1.74
0.0012272727272727275,1.7999999999999998
0.0012272727272727275,1.79
0.0011818181818181819,1.8099999999999998
0.0012727272727272728,1.7899999999999998
0.0012727272727272728,1.7899999999999998
0.0012272727272727275,1.72
0.0012272727272727275,1.81
0.0012727272727272728,1.8
0.0012727272727272728,1.8099999999999998
0.0013181818181818182,1.7999999999999998
0.0011363636363636363,1.9
0.0013181818181818182,1.79
0.0013636363636363635,1.8
0.0013636363636363635,1.8
0.0013636363636363635,1.82
0.0012727272727272728,1.82
0.001409090909090909,1.7999999999999998
0.001409090909090909,1.75
0.0014545454545454547,1.7899999999999998
0.001409090909090909,1.7999999999999998
0.0014545454545454547,1.7899999999999998
0.0015,1.7799999999999998
0.001409090909090909,1.83
0.0015,1.81
0.0015,1.81
0.0015,1.81
0.0015454545454545456,1.7899999999999998
0.0012727272727272728,1.9000000000000001
0.0015454545454545456,1.82
0.0015909090909090907,1.7999999999999998
0.0015909090909090907,1.7999999999999998
0.0015909090909090907,1.81
0.0015454545454545456,1.82
0.0015909090909090907,1.81
0.0016363636363636363,1.8000000000000003
0.0016363636363636363,1.7600000000000002
0.0015909090909090907,1.8199999999999998
0.0016363636363636363,1.81
0.0016363636363636363,1.7400000000000002
0.0016363636363636363,1.8200000000000003
0.001681818181818182,1.81
0.001681818181818182,1.8199999999999998
0.0017272727272727272,1.8000000000000003
0.0017272727272727272,1.8200000000000003
0.0017272727272727272,1.8200000000000003
0.0015,1.87
0.0017272727272727272,1.8200000000000003
0.0017272727272727272,1.77
0.0018181818181818182,1.81
0.0017727272727272728,1.81
0.0018636363636363635,1.8
0.0018181818181818182,1.85
0.0018636363636363635,1.8
0.0019090909090909091,1.81
0.0019090909090909091,1.81
0.0018636363636363635,1.82
0.0019090909090909091,1.81
0.0019090909090909091,1.81
0.0019545454545454545,1.82
0.0019090909090909091,1.8200000000000003
0.0015,1.9100000000000001
0.0019545454545454545,1.82
0.0019545454545454545,1.82
0.002,1.81
0.0020454545454545456,1.82
0.0020454545454545456,1.82
0.002,1.83
0.0020454545454545456,1.8099999999999998
0.002,1.7600000000000002
0.002,1.83
0.0020454545454545456,1.82
0.0020454545454545456,1.8299999999999998
0.002090909090909091,1.83
0.002090909090909091,1.8199999999999998
0.0024090909090909093,1.76
0.002090909090909091,1.83
0.0021363636363636363,1.82
0.002181818181818182,1.81
0.0021363636363636363,1.7
0.0017727272727272728,1.9099999999999997
0.0021363636363636363,1.84
0.0021363636363636363,1.84
0.002181818181818182,1.8399999999999999
0.002227272727272727,1.82
0.0022727272727272726,1.8199999999999998
0.002227272727272727,1.84
0.002,1.8900000000000001
0.0022727272727272726,1.83
0.002318181818181818,1.82
0.002318181818181818,1.82
0.002318181818181818,1.72
0.002318181818181818,1.84
0.002318181818181818,1.84
0.0023636363636363638,1.83
0.0023636363636363638,1.83
0.0024090909090909093,1.82
0.0025909090909090908,1.7800000000000002
0.0024090909090909093,1.78
0.002454545454545455,1.8199999999999998
0.002454545454545455,1.83
0.0023636363636363638,1.85
0.002454545454545455,1.83
0.002454545454545455,1.83
0.0025,1.8299999999999998
0.002454545454545455,1.8399999999999999
0.0025,1.84
0.002727272727272727,1.7799999999999998
0.002227272727272727,1.86
0.002454545454545455,1.81
0.0025454545454545456,1.85
0.0025454545454545456,1.8399999999999999
0.0025454545454545456,1.8399999999999999
0.0025454545454545456,1.8599999999999999
0.0025909090909090908,1.8400000000000003
0.0025909090909090908,1.85
0.0026818181818181815,1.83
0.0026363636363636363,1.8399999999999999
0.0026363636363636363,1.85
0.0025909090909090908,1.8600000000000003
0.0026818181818181815,1.85
0.0026363636363636363,1.85
0.002727272727272727,1.8199999999999998
0.0026818181818181815,1.85
0.0027727272727272726,1.83
